dog,dog_cdl_name,study,condition,choice_letter,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_B_box,age,sex,breed,fci_group,communicator,hider,correct
90,Akin,2021,true_belief,B,9,1,no_displacement,blue,11,m,rhodesian_ridgeback,6,SV,LL,0
91,Ayla,2021,true_belief,B,7,1,displacement,blue,7,f,rhodesian_ridgeback,6,LL,JK,0
92,Mischa2,2021,false_belief,A,7,1,displacement,brown,0.42,m,borzoi,10,LL,JK,1
93,Akito,2021,true_belief,A,7,1,displacement,brown,7,m,rhodesian_ridgeback,6,LL,JK,1
94,Thaya,2021,true_belief,B,7,1,displacement,blue,9,f,whippet,10,LL,JK,0
95,Mika2,2021,false_belief,A,7,1,displacement,brown,6,f,whippet,10,LL,JK,1
96,Linus4,2021,true_belief,B,7,1,no_displacement,blue,9,m,flat_coated_retriever,8,JK,LL,0
97,GrafAidan,2021,false_belief,A,7,1,no_displacement,brown,6,m,irish_setter,7,JK,LL,1
98,Leilani,2021,true_belief,B,7,1,no_displacement,blue,14,f,golden_retriever,8,JK,LL,0
99,Amy18,2021,false_belief,B,7,1,no_displacement,blue,6,f,labrador_retriever,8,JK,LL,0
100,Frisko,2021,false_belief,B,7,1,no_displacement,blue,3,m,hovawart,2,JK,LL,0
101,Duke3,2021,true_belief,B,7,1,no_displacement,blue,8,m,hovawart,2,JK,LL,0
102,Bruno2,2021,true_belief,B,9,1,displacement,blue,5,m,beagle,6,JK,LL,0
103,Teddy1,2021,true_belief,B,7,1,displacement,blue,5,m,bernese_mountain_dog,2,JK,LL,0
104,Akima,2021,false_belief,B,9,1,displacement,blue,4,f,siberian_husky,5,JK,LL,0
105,Hayley,2021,true_belief,B,7,1,displacement,brown,5,f,siberian_husky,5,JK,LL,0
106,Buddy7,2021,true_belief,B,7,1,no_displacement,brown,0.5,m,bernese_mountain_dog,2,JK,LL,0
107,Brandy,2021,false_belief,B,7,1,no_displacement,brown,9,f,bernese_mountain_dog,2,JK,LL,0
108,Larry,2021,false_belief,B,7,1,displacement,blue,9,m,irish_setter,7,JK,LL,0
109,Cooper4,2021,false_belief,A,9,1,displacement,blue,2,m,hovawart,2,JK,LL,1
110,Katica,2021,false_belief,A,7,1,no_displacement,brown,10,f,hungarian_greyhound,10,JK,LL,1
111,Xsarah,2021,false_belief,B,7,1,no_displacement,brown,8,f,hovawart,2,JK,LL,0
112,Uzuri,2021,true_belief,B,7,1,no_displacement,brown,4,f,hovawart,2,JK,LL,0
113,Hera,2021,true_belief,B,7,1,no_displacement,blue,2,f,rottweiler,2,JK,LL,0
114,Ava,2021,true_belief,B,9,1,no_displacement,brown,1,f,irish_setter,7,BM,JK,0
115,Roxy5,2021,true_belief,B,7,1,no_displacement,blue,5,f,irish_setter,7,BM,JK,0
116,Aramis6,2021,true_belief,B,7,1,displacement,brown,5,m,english_setter,7,BM,JK,0
117,Resi,2021,false_belief,A,7,1,no_displacement,brown,1,f,english_setter,7,BM,JK,1
118,Butch,2021,false_belief,A,9,1,no_displacement,brown,1,m,boxer,2,JK,LL,1
119,Ame,2021,true_belief,B,7,1,no_displacement,brown,4,m,akita_inu,5,JK,LL,0
120,Kiani,2021,true_belief,A,7,1,displacement,brown,2,f,whippet,10,JK,LL,1
121,Geronimo,2021,knowledge_control,B,7,1,no_displacement,blue,2,m,beagle,6,LL,VS,0
122,Toni,2021,knowledge_control,B,9,1,displacement,brown,3,f,beagle,6,LL,VS,0
123,Diva,2021,knowledge_control,B,9,1,no_displacement,brown,8,f,bulldog,2,LL,VS,0
124,Mira3,2021,knowledge_control,B,9,1,no_displacement,blue,6,f,bernese_mountain_dog,2,LL,VS,0
125,Emma16,2021,knowledge_control,A,9,1,no_displacement,brown,5,m,vizsla,7,LL,VS,1
126,Freja,2021,knowledge_control,B,9,1,no_displacement,blue,2,f,beagle,6,LL,AE,0
